name,iata_code
Anaa Airport,AAA
El Arish International Airport,AAC
Rabah Bitat Airport,AAE
Aalborg Airport,AAL
Malamala Airport,AAM
Al Ain International Airport,AAN
Anaco Airport,AAO
Aji Pangeran Tumenggung Pranoto International Airport,AAP
Anapa Vityazevo Airport,AAQ
Aarhus Airport,AAR
Altay Air Base,AAT
Allah Valley Airport,AAV
Al Ghaidah International Airport,AAY
Abakan Airport,ABA
Asaba International Airport,ABB
Albacete-Los Llanos Airport,ABC
Abadan Airport,ABD
Lehigh Valley International Airport,ABE
Alpha Airport,ABH
Abilene Regional Airport,ABI
Port Bouet Airport,ABJ
Ambler Airport,ABL
Albuquerque International Sunport,ABQ
Aberdeen Regional Airport,ABR
Abu Simbel Airport,ABS
Al Baha Airport,ABT
Nnamdi Azikiwe International Airport,ABV
Albury Airport,ABX
Southwest Georgia Regional Airport,ABY
Aberdeen Dyce Airport,ABZ
General Juan N Alvarez International Airport,ACA
Kotoka International Airport,ACC
Lanzarote Airport,ACE
St Gallen Altenrhein Airport,ACH
Alderney Airport,ACI
Anuradhapura Air Force Base,ACJ
Nantucket Memorial Airport,ACK
Achinsk Airport,ACS
Waco Regional Airport,ACT
California Redwood Coast-Humboldt County Airport,ACV
Xingyi Airport,ACX
Atlantic City International Airport,ACY
Zabol Airport,ACZ
Adana Airport,ADA
Adnan Menderes International Airport,ADB
Addis Ababa Bole International Airport,ADD
Aden International Airport,ADE
AdÄ±yaman Airport,ADF
Arandis Airport,ADI
Amman-Marka International Airport,ADJ
Adak Airport,ADK
Adelaide International Airport,ADL
Ampara Airport,ADP
Kodiak Airport,ADQ
Ardabil Airport,ADU
Joint Base Andrews,ADW
RAF Leuchars,ADX
Gustavo Rojas Pinilla International Airport,ADZ
Baise Youjiang Airport,AEB
Aek Godang Airport,AEG
Abeche Airport,AEH
Jorge Newbery Airpark,AEP
Sochi International Airport,AER
"Ãlesund Airport",AES
Abu Musa Island Airport,AEU
Alexandria International Airport,AEX
Akureyri Airport,AEY
Suboficial Ay Santiago Germano Airport,AFA
Piloto Osvaldo Marques Dias Airport,AFL
Fort Worth Alliance Airport,AFW
Afyon Airport,AFY
Sabzevar National Airport,AFZ
Al Massira Airport,AGA
Augsburg Airport,AGB
Allegheny County Airport,AGC
Agen-La Garenne Airport,AGF
Ãngelholm-Helsingborg Airport,AGH
MÃ¡laga Airport,AGP
Agra Airport,AGR
Augusta Regional At Bush Field,AGS
Guarani International Airport,AGT
JesÃºs TerÃ¡n Paredo International Airport,AGU
Oswaldo Guevara Mujica Airport,AGV
Agatti Airport,AGX
Aggeneys Airport,AGZ
Abha Regional Airport,AHB
Ahe Airport,AHE
Hongyuan Airport,AHJ
Athens Ben Epps Airport,AHN
Alghero-Fertilia Airport,AHO
Cherif Al Idrissi Airport,AHU
Wainwright Airport,AIN
Ajaccio-NapolÃ©on Bonaparte Airport,AJA
Al-Jawf Domestic Airport,AJF
AÄrÄ± Airport,AJI
Lengpui Airport,AJL
Ouani Airport,AJN
Arvidsjaur Airport,AJR
Santa Maria Airport,AJU
Mano Dayak International Airport,AJY
Akron Fulton International Airport,AKC
Akola Airport,AKD
Kufra Airport,AKF
Prince Sultan Air Base,AKH
Asahikawa Airport,AKJ
Auckland International Airport,AKL
King Salmon Airport,AKN
Anaktuvuk Pass Airport,AKP
Akure Airport,AKR
RAF Akrotiri,AKT
Aksu Airport,AKU
Akulivik Airport,AKV
Aghajari Airport,AKW
Aktobe Airport,AKX
Sittwe Airport,AKY
Almaty Airport,ALA
Albany International Airport,ALB
Alicante International Airport,ALC
Alta Airport,ALF
Houari Boumediene Airport,ALG
Albany Airport,ALH
Alice International Airport,ALI
Alexander Bay Airport,ALJ
Villanova D'Albenga International Airport,ALL
Alamogordo White Sands Regional Airport,ALM
St Louis Regional Airport,ALN
Waterloo Regional Airport,ALO
Aleppo International Airport,ALP
Alexandra Airport,ALR
San Luis Valley Regional Bergman Field,ALS
Walla Walla Regional Airport,ALW
El Nouzha Airport,ALY
Rick Husband Amarillo International Airport,AMA
Sardar Vallabhbhai Patel International Airport,AMD
Arba Minch Airport,AMH
Queen Alia International Airport,AMM
"Pattimura Airport, Ambon",AMQ
Amsterdam Airport Schiphol,AMS
Amderma Airport,AMV
Ardmore Airport,AMZ
Anniston Regional Airport,ANB
Ted Stevens Anchorage International Airport,ANC
Anderson Regional Airport,AND
Angers-Loire Airport,ANE
AndrÃ©s Sabella GÃ¡lvez International Airport,ANF
AngoulÃªme-Brie-Champniers Airport,ANG
Aniak Airport,ANI
Etimesgut Air Base,ANK
Antsirabato Airport,ANM
Annette Island Airport,ANN
Antwerp International Airport (Deurne),ANR
V.C. Bird International Airport,ANU
Anvik Airport,ANV
AndÃ¸ya Airport,ANX
Altenburg-Nobitz Airport,AOC
Anadolu Airport,AOE
Anshan Air Base,AOG
Ancona Falconara Airport,AOI
Aomori Airport,AOJ
Karpathos Airport,AOK
Paso De Los Libres Airport,AOL
Altoona Blair County Airport,AOO
Sultan Abdul Halim Airport,AOR
Aosta Airport,AOT
Centennial Airport,APA
Naples Municipal Airport,APF
Phillips Army Air Field,APG
Gomez Nino Apiay Air Base,API
Nampula Airport,APL
Alpena County Regional Airport,APN
Antonio Roldan Betancourt Airport,APO
Faleolo International Airport,APW
Zapala Airport,APZ
Araraquara Airport,AQA
Anqing Tianzhushan Airport,AQG
Al Qaisumah/Hafr Al Batin Airport,AQI
Aqaba King Hussein International Airport,AQJ
RodrÃ­guez BallÃ³n International Airport,AQP
Acadiana Regional Airport,ARA
Arctic Village Airport,ARC
Antonio Nery Juarbe Pol Airport,ARE
Talagi Airport,ARH
Chacalluta Airport,ARI
Arusha Airport,ARK
Armidale Airport,ARM
Stockholm-Arlanda Airport,ARN
Watertown International Airport,ART
AraÃ§atuba Airport,ARU
Arad International Airport,ARW
Aracati Airport,ARX
Ararat Airport,ARY
Assab International Airport,ASA
Ashgabat International Airport,ASB
Andros Town Airport,ASD
Aspen-Pitkin Co/Sardy Field,ASE
Astrakhan Airport,ASF
RAF Ascension Island,ASI
Amami Airport,ASJ
Yamoussoukro Airport,ASK
Asmara International Airport,ASM
Asosa Airport,ASO
Alice Springs Airport,ASP
